ssn,vehicle_make,vehicle_model,model_year
599-69-5584,Chevrolet,Corvette,1953
600-52-7214,Lotus,Exige,2010
601-01-2163,Lexus,GX,2003
601-04-5606,GMC,Savana 2500,2003
601-06-5384,Suzuki,Reno,2005
603-31-3174,Chevrolet,G-Series 2500,1998
603-34-9733,Toyota,Highlander,2010
603-76-5257,Kia,Rio,2013
604-19-5709,Honda,Prelude,1993
605-15-8306,Saab,9000,1988
605-26-7064,Cadillac,Eldorado,2002
605-55-6033,Volkswagen,New Beetle,2012
608-13-9301,GMC,Savana 1500,2009
612-27-1398,Audi,TT,2004
612-30-5754,Ford,Falcon,1966
615-38-6466,Mercury,Mountaineer,2000
617-38-3504,Lincoln,Town Car,1984
617-71-4058,Bentley,Arnage,2005
618-35-5798,Daewoo,Lanos,2001
620-81-4914,Pontiac,GTO,1973
623-98-4252,Panoz,Esperante,2006
624-99-0933,Kia,Amanti,2004
625-84-8454,Saab,3-Sep,2004
627-36-1126,Buick,LeSabre,1985
627-91-0537,Mercedes-Benz,500E,1992
629-10-9201,Oldsmobile,Silhouette,1994
629-13-0131,Honda,Odyssey,2009
629-54-4455,Land Rover,Discovery,2004
629-91-9506,GMC,Savana 2500,2007
630-21-7841,Nissan,240SX,1994
631-44-9168,Mercury,Grand Marquis,1996
631-72-9770,Geo,Metro,1995
633-96-5921,Buick,LeSabre,2004
634-42-8798,Volvo,S40,2004
634-90-4851,Kia,Sedona,2012
635-99-3249,Oldsmobile,LSS,1999
637-74-3365,Acura,NSX,2005
639-08-7138,Mitsubishi,L300,1990
640-86-4661,Nissan,Frontier,2001
641-11-8353,Buick,LeSabre,2005
643-10-4736,Nissan,350Z Roadster,2006
644-68-2955,Acura,RDX,2012
644-70-8292,Chevrolet,Classic,2004
645-33-6872,BMW,M5,2003
646-69-6845,Hyundai,Scoupe,1993
647-24-7807,Dodge,Caravan,1993
647-82-5575,Audi,A8,2005
648-50-5566,Ford,Bronco II,1984
648-92-3395,Volvo,850,1995
650-63-9841,Chevrolet,Lumina,2000
650-73-2431,GMC,Yukon XL 1500,2007
650-89-8244,Lexus,GX,2010
651-83-5203,Dodge,Ram Wagon B150,1994
652-46-3664,Nissan,Xterra,2008
652-96-9901,Oldsmobile,Silhouette,2000
653-23-1607,Ford,Mustang,2004
653-49-0510,Chevrolet,Monte Carlo,1995
654-61-1601,BMW,M5,2008
654-68-3903,GMC,3500,1994
654-75-3300,Ford,Expedition,2004
655-98-7788,Suzuki,X-90,1997
656-92-1337,Mazda,626,1993
658-21-3014,Ford,Bronco,1995
658-34-0029,BMW,M Roadster,2008
658-97-8544,Lamborghini,Murciélago,2005
659-43-4520,Toyota,Tacoma,2003
667-57-3442,Toyota,Sequoia,2006
667-87-7090,Kia,Sephia,1998
669-12-9323,Hyundai,Sonata,2004
669-83-8959,Buick,LeSabre,2004
670-56-7817,Volvo,S80,2007
670-66-6403,Mitsubishi,Endeavor,2008
670-67-9679,Infiniti,Q,1993
670-89-3434,Acura,Legend,1988
671-16-1411,Lexus,HS,2012
671-71-9470,Porsche,924 S,1987
671-76-8792,Audi,Q7,2010
672-60-8782,Mazda,Miata MX-5,1996
673-83-5713,Toyota,Celica,2000
674-64-0219,Mercury,Sable,1992
675-31-0953,Volvo,S80,2010
675-41-4272,Toyota,T100,1997
678-60-4630,GMC,Sonoma Club Coupe,1993
679-22-5301,Chevrolet,Monza,1975
680-11-2707,Chevrolet,Beretta,1992
681-72-2644,Chevrolet,Malibu,2001
682-06-8032,GMC,2500 Club Coupe,1996
682-68-1965,GMC,Yukon XL 2500,2009
682-73-2035,Land Rover,Range Rover,1987
684-49-8302,Mitsubishi,Raider,2009
684-95-5429,Mitsubishi,Challenger,1998
686-22-5917,Ford,Crown Victoria,1992
687-27-5241,Acura,TSX,2011
687-98-6782,Toyota,Prius,2007
689-25-7868,Toyota,T100,1998
690-61-7133,Lotus,Esprit,1989
692-31-0697,Volvo,850,1997
692-38-3792,Dodge,Viper,2000
694-86-1783,Pontiac,Grand Prix,1963
695-51-8778,Ford,Ranger,1985
696-10-4037,Mitsubishi,Chariot,1987
696-45-6436,Pontiac,6000,1989
698-76-6576,Ford,Explorer,2002
698-94-3612,Lincoln,Aviator,2004
699-17-4497,Audi,A6,2008
700-49-1211,Jeep,Grand Cherokee,2004
700-73-0102,Ford,F150,2003
701-06-8590,Toyota,Tercel,1994
701-53-6262,Mercedes-Benz,E-Class,2012
702-02-6635,Toyota,Celica,2005
702-67-5109,Morgan,Aero 8,2009
704-72-4439,Toyota,Corolla,1995
705-15-6989,Toyota,Land Cruiser,2005
705-98-0229,Chevrolet,Express 2500,2006
709-73-6600,Buick,Rendezvous,2005
714-55-2111,Pontiac,Vibe,2007
715-89-3174,Ford,Crown Victoria,2007
717-91-7919,Maybach,57,2007
718-89-7490,Nissan,200SX,1997
718-91-6110,Infiniti,I,2004
719-05-6621,Chevrolet,Silverado 2500,2003
719-96-8751,Audi,4000,1987
720-63-4381,Mitsubishi,Lancer Evolution,2010
722-30-1903,Infiniti,I,1997
722-64-9283,Mercedes-Benz,300TE,1993
723-36-6692,Dodge,Viper,2003
724-90-0728,Cadillac,Eldorado,1998
725-23-0793,Volkswagen,R32,2008
727-48-6769,Audi,S4,2009
727-82-4383,Dodge,Avenger,1998
728-54-5322,Cadillac,STS,2009
729-95-1691,Volvo,S60,2001
731-22-8474,Mitsubishi,Starion,1985
733-29-1354,Chevrolet,1500,1993
733-78-5243,Lincoln,MKX,2010
735-42-4024,Bentley,Continental Super,2011
736-60-2127,Nissan,Xterra,2002
737-89-8983,Mitsubishi,GTO,1995
738-38-4091,Maserati,Karif,1990
738-65-3635,Infiniti,I,1999
740-64-7874,Buick,Regal,2012
741-53-2153,Dodge,D350 Club,1992
741-56-7694,Suzuki,Swift,1994
741-90-1249,Oldsmobile,Silhouette,1996
743-75-2371,Chevrolet,Tahoe,2011
743-87-2936,Toyota,Corolla,1996
744-87-2990,Dodge,Caravan,2003
745-19-1777,GMC,Savana 1500,2005
746-55-1405,Volvo,S80,2008
747-12-8456,Lexus,HS,2011
749-85-8879,Mercedes-Benz,M-Class,2002
753-94-0630,Ford,Aerostar,1992
753-98-5796,Volvo,S40,2011
754-28-9729,Mercedes-Benz,190E,1992
754-49-4659,Oldsmobile,Ciera,1995
755-08-4000,Acura,CL,1999
756-40-2283,Ford,Crown Victoria,1995
758-20-5576,Ford,Escape,2008
761-01-2227,Dodge,Grand Caravan,2000
761-64-5650,Mazda,Millenia,1998
762-43-8029,Lincoln,Navigator,2001
763-09-1587,Chevrolet,Corvette,1995
764-93-2248,Chevrolet,Monte Carlo,2004
765-35-8117,Nissan,Pathfinder,1992
765-45-5973,Hyundai,Accent,1998
765-87-9144,Audi,A4,2001
767-05-4859,Chevrolet,Silverado 3500,2007
767-55-6767,Mercedes-Benz,600SEC,1993
768-54-5764,Mercury,Grand Marquis,1997
768-74-8540,Mercedes-Benz,600SEC,1993
770-61-8252,Bentley,Arnage,2008
771-20-6900,Mazda,Mazda6,2007
771-71-0505,Ford,Festiva,1989
773-21-9639,Mitsubishi,Starion,1984
773-53-7438,Volvo,V40,2001
773-82-1734,Porsche,Boxster,1999
774-08-5376,Jeep,Commander,2006
775-09-9949,Ford,Tempo,1987
777-05-1491,Pontiac,Firefly,1989
777-68-2978,Austin,Mini,1959
777-94-4586,Oldsmobile,Ciera,1996
778-74-8262,Chevrolet,Sportvan G30,1993
779-59-1449,Mitsubishi,Mighty Max,1992
780-69-8282,Pontiac,Firebird,1991
781-88-2076,Toyota,Yaris,2009
782-46-9660,Subaru,Outback,2000
782-60-6848,Chevrolet,Blazer,2005
783-22-9258,Buick,Skylark,1990
784-88-0730,Pontiac,Firebird,2000
785-14-5978,Kia,Carens,2008
786-56-3561,Ford,Tempo,1986
786-63-6223,Hyundai,Accent,2008
787-05-9008,GMC,Savana 1500,1997
787-09-5697,Lexus,GS,1993
787-10-7877,Buick,Coachbuilder,1991
788-15-2625,Suzuki,SJ,1992
789-70-1821,Saab,5-Sep,2004
790-04-1283,Mercury,Mountaineer,1998
792-71-8046,Infiniti,Q,2002
794-24-3802,Land Rover,Discovery,2000
795-56-6486,Chrysler,300,2008
795-77-5263,Ford,E150,2010
797-05-2289,Dodge,Journey,2010
797-25-9814,Lexus,HS,2012
797-65-2382,Volkswagen,Scirocco,1985
797-87-7992,Volkswagen,Scirocco,1985
798-34-1082,Lotus,Esprit,1987
798-65-5644,Lexus,ES,1993
800-06-9721,Toyota,Highlander,2003
801-08-8313,Suzuki,Grand Vitara,2006
801-92-6460,Toyota,Sienna,1999
801-99-2773,Ford,E-Series,1986
804-46-0617,GMC,Sierra 2500,2011
807-13-5922,Cadillac,Seville,2001
807-24-6202,Hyundai,Accent,2000
807-25-6136,Oldsmobile,Toronado,1966
807-35-8936,Dodge,Ram 1500,2005
807-50-8539,Pontiac,Montana,2005
807-60-5615,Dodge,Viper,2000
808-55-8658,Buick,Coachbuilder,1994
808-80-2542,Dodge,Ram,2009
811-65-2750,Oldsmobile,Cutlass,1998
812-11-9403,Pontiac,Turbo Firefly,1990
813-42-4142,Isuzu,Rodeo Sport,2002
813-47-5215,Lamborghini,Diablo,1994
815-83-0300,GMC,3500,1994
816-31-3858,Chevrolet,Silverado 3500,2004
816-47-4782,Cadillac,Fleetwood,1996
816-90-2049,Dodge,Durango,2012
817-04-1950,Audi,A4,2003
817-25-7437,Dodge,Sprinter,2009
817-80-8930,Subaru,Legacy,2002
818-61-0770,Jaguar,X-Type,2002
819-52-5886,Infiniti,I,2003
819-64-1414,Lincoln,Aviator,2004
820-96-1105,Isuzu,Hombre,1998
822-05-9037,Acura,MDX,2001
822-30-4861,Honda,Element,2010
823-27-0762,Aston Martin,DB9,2011
823-75-5753,GMC,1500,1997
824-89-4169,Mercedes-Benz,G-Class,2006
826-97-8029,Dodge,Viper,2003
827-62-4599,Mazda,Miata MX-5,2002
830-23-1573,Land Rover,Defender,1994
831-44-3286,Mitsubishi,Mirage,2000
833-01-1428,Kia,Sephia,1995
835-54-3785,Dodge,Sprinter,2006
836-40-1837,Mercedes-Benz,R-Class,2006
836-99-3309,Honda,Fit,2012
837-76-5619,Aptera,Type-1h,2010
838-69-1351,Mitsubishi,Outlander Sport,2011
840-41-7929,Mazda,Miata MX-5,1996
841-64-8517,Volkswagen,Passat,1996
842-90-7557,Pontiac,Grand Am,1985
844-15-4668,GMC,Vandura 3500,1993
844-50-7305,Mitsubishi,Montero,2001
846-07-1407,Eagle,Vision,1997
846-09-9851,Subaru,Legacy,2002
846-59-9961,Volkswagen,Jetta,1999
847-34-4817,Nissan,350Z,2003
847-61-7656,Mitsubishi,Galant,1996
848-58-3386,Toyota,RAV4,2007
848-74-2886,Hyundai,Accent,2011
848-76-8808,Toyota,Celica,1998
849-31-1551,Ford,Crown Victoria,2011
849-64-6624,Panoz,Esperante,2006
849-98-2973,Mazda,B-Series,1993
851-94-2162,Chevrolet,Cobalt,2010
852-15-7707,Mazda,MX-5,2010
853-11-8953,Pontiac,Fiero,1987
853-47-3648,Infiniti,I,2003
854-68-7635,Pontiac,Grand Prix,1991
854-71-2983,Subaru,SVX,1993
854-79-5334,Jeep,Cherokee,1996
856-18-3980,Toyota,MR2,1992
856-27-9112,BMW,3 Series,2011
856-67-4080,Dodge,Grand Caravan,2007
857-37-5902,Lotus,Esprit,1996
858-03-7735,Porsche,944,1984
858-27-9190,Suzuki,Swift,1997
860-67-0256,Toyota,Tacoma,2001
860-89-2570,Dodge,Dakota,2007
861-50-6716,BMW,M5,2007
862-20-0653,Mazda,B-Series,2002
864-22-9364,Acura,ZDX,2011
864-91-7489,Pontiac,Grand Am,2004
866-18-1440,Volvo,S60,2002
866-53-0625,Chevrolet,Blazer,1997
867-11-6007,Volvo,S80,2001
867-13-6844,Land Rover,Range Rover,1986
867-88-2360,Ford,F-Series,1987
868-32-1805,Chevrolet,Colorado,2007
870-12-6609,Mercedes-Benz,W201,1991
870-93-1121,Mitsubishi,Pajero,1998
871-99-3191,Toyota,Sienna,2000
872-18-9267,Audi,A4,2010
872-49-1288,Acura,Integra,1997
873-36-4733,Austin,Mini Cooper,1964
875-18-9454,Mitsubishi,Diamante,1993
875-75-0495,Hyundai,Tiburon,2000
878-12-8265,Chrysler,Concorde,1998
880-22-4449,Toyota,Camry,2008
881-19-5974,Infiniti,G,2004
881-88-7308,Subaru,SVX,1994
881-95-7180,BMW,M6,2009
882-49-5290,GMC,Savana 3500,2011
884-61-1852,Plymouth,Neon,1996
887-41-7878,Lexus,GS,2013
887-83-9002,Audi,S6,2011
888-50-7008,Nissan,Armada,2008
888-53-7684,Volkswagen,Jetta,1991
888-82-4928,Volvo,S60,2005
890-28-9962,GMC,Savana 1500,2000
893-12-0901,Lotus,Esprit,1991
893-17-7318,Chevrolet,Lumina,1995
894-81-0628,Kia,Sedona,2012
895-26-1658,Toyota,Land Cruiser,2003
895-26-5515,Acura,TL,1999
897-76-7070,BMW,X3,2011
898-03-3165,Toyota,Xtra,1994
898-86-8860,Lotus,Esprit,2003
899-09-1766,Toyota,Camry,2012
899-39-7179,Infiniti,FX,2006
899-39-7378,Toyota,Land Cruiser,1999
899-47-6116,Volkswagen,Phaeton,2005
